model,arm,task,lang,press,kept,drop,d_false_absence,d_wrong_number,d_other,share_false_absence,share_wrong_number,share_other,d_false_presence_distractor,d_false_presence_hallucinated,share_false_presence_distractor,share_false_presence_hallucinated
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.5,0.010000000000000009,0.01,0.0,0.0,0.9999999999999991,0.0,0.0,,,,
qwen25-7b-1m,joint,niah_single,pl,snapkv,0.5,-0.0,0.0,0.0,0.0,,,,,,,
qwen25-7b-1m,joint,niah_single,sw,snapkv,0.5,-0.029999999999999916,-0.03999999999999998,0.01,0.0,,,,,,,
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.5,-0.0,0.0,0.0,0.0,,,,,,,
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.5,-0.0,0.0,0.0,0.0,,,,,,,
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.25,0.71,0.08,0.6,0.03,0.11267605633802817,0.8450704225352113,0.04225352112676056,,,,
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.25,0.62,-0.010000000000000009,0.6,0.03,-0.01612903225806453,0.9677419354838709,0.04838709677419355,,,,
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.25,0.72,0.12,0.56,0.04,0.16666666666666666,0.7777777777777779,0.05555555555555556,,,,
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.25,0.72,0.04,0.65,0.03,0.05555555555555556,0.9027777777777778,0.041666666666666664,,,,
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.25,0.42000000000000004,0.41,0.01,0.0,0.976190476190476,0.023809523809523808,0.0,,,,
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.25,0.6799999999999999,0.060000000000000005,0.49,0.13,0.08823529411764708,0.7205882352941178,0.1911764705882353,,,,
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.25,0.73,0.54,0.19,0.0,0.7397260273972603,0.2602739726027397,0.0,,,,
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.5,0.53,0.039999999999999994,0.42,0.07,0.07547169811320753,0.7924528301886792,0.1320754716981132,,,,
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.5,0.45,0.04999999999999999,0.37,0.03,0.11111111111111108,0.8222222222222222,0.06666666666666667,,,,
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.5,0.51,0.13,0.36,0.02,0.2549019607843137,0.7058823529411764,0.0392156862745098,,,,
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.5,0.51,0.04,0.41,0.06,0.0784313725490196,0.8039215686274509,0.11764705882352941,,,,
qwen25-7b-1m,joint,niah_single,sw,streaming_llm,0.5,0.31000000000000005,0.29,0.02,0.0,0.9354838709677417,0.06451612903225805,0.0,,,,
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.5,0.47,0.060000000000000005,0.34,0.07,0.12765957446808512,0.723404255319149,0.14893617021276598,,,,
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.5,0.56,0.44,0.12,0.0,0.7857142857142857,0.21428571428571425,0.0,,,,
qwen25-7b-1m,qa,niah_none,en,knorm,0.25,-0.020000000000000018,,,0.0,,,,-0.04,0.02,,
qwen25-7b-1m,qa,niah_none,ja,knorm,0.25,-0.18000000000000005,,,-0.01,,,,-0.24,0.07,,
qwen25-7b-1m,qa,niah_none,ko,knorm,0.25,-0.39,,,-0.02,,,,-0.57,0.2,,
qwen25-7b-1m,qa,niah_none,pl,knorm,0.25,-0.0,,,0.0,,,,0.0,0.0,,
qwen25-7b-1m,qa,niah_none,sw,knorm,0.25,-0.32000000000000006,,,0.04,,,,-0.35,-0.009999999999999995,,
qwen25-7b-1m,qa,niah_none,vi,knorm,0.25,-0.04999999999999993,,,0.0,,,,-0.1,0.05,,
qwen25-7b-1m,qa,niah_none,zh,knorm,0.25,-0.06000000000000005,,,0.0,,,,-0.06,0.0,,
qwen25-7b-1m,qa,niah_none,en,knorm,0.5,-0.030000000000000027,,,0.0,,,,-0.03,0.0,,
qwen25-7b-1m,qa,niah_none,ja,knorm,0.5,-0.18000000000000005,,,-0.01,,,,-0.22999999999999998,0.06,,
qwen25-7b-1m,qa,niah_none,ko,knorm,0.5,-0.18000000000000005,,,-0.01,,,,-0.18,0.01,,
qwen25-7b-1m,qa,niah_none,pl,knorm,0.5,-0.0,,,0.0,,,,0.0,0.0,,
qwen25-7b-1m,qa,niah_none,sw,knorm,0.5,-0.25,,,0.14,,,,-0.35,-0.039999999999999994,,
qwen25-7b-1m,qa,niah_none,vi,knorm,0.5,-0.0,,,0.0,,,,-0.07,0.07,,
qwen25-7b-1m,qa,niah_none,zh,knorm,0.5,-0.050000000000000044,,,0.0,,,,-0.049999999999999996,0.0,,
qwen25-7b-1m,qa,niah_none,en,snapkv,0.25,-0.010000000000000009,,,0.0,,,,-0.03,0.02,,
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.25,-0.17000000000000004,,,0.01,,,,-0.24,0.06,,
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.25,-0.25,,,0.0,,,,-0.32,0.07,,
qwen25-7b-1m,qa,niah_none,pl,snapkv,0.25,-0.0,,,0.0,,,,0.0,0.0,,
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.25,-0.37,,,0.01,,,,-0.32,-0.06,,
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.25,-0.07999999999999996,,,0.0,,,,-0.09000000000000001,0.01,,
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.25,-0.050000000000000044,,,0.0,,,,-0.06,0.01,,
qwen25-7b-1m,qa,niah_none,en,snapkv,0.5,-0.0,,,0.0,,,,-0.02,0.02,,
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.5,-0.10999999999999999,,,0.0,,,,-0.22,0.11,,
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.5,-0.18000000000000005,,,0.0,,,,-0.18,0.0,,
qwen25-7b-1m,qa,niah_none,pl,snapkv,0.5,-0.0,,,0.0,,,,0.0,0.0,,
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.5,-0.29000000000000004,,,0.0,,,,-0.25,-0.039999999999999994,,
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.5,-0.010000000000000009,,,0.01,,,,-0.09000000000000001,0.07,,
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.5,-0.030000000000000027,,,0.0,,,,-0.06,0.03,,
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.25,0.010000000000000009,,,0.0,,,0.0,0.010000000000000002,0.0,0.9999999999999993,0.0
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.25,-0.030000000000000027,,,0.1,,,,-0.13,0.0,,
