model,arm,task,lang,press,kept,acc,acc_robust,n,delta_robust
qwen25-7b-1m,qa,niah_none,sw,knorm,0.25,0.9,0.9,100,0.0
qwen25-7b-1m,qa,niah_none,sw,knorm,0.5,0.83,0.83,100,0.0
qwen25-7b-1m,qa,niah_none,sw,none,1.0,0.58,0.49,100,0.09
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.25,0.95,0.94,100,0.01
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.5,0.87,0.85,100,0.02
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.25,1.0,0.99,100,0.01
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.5,0.93,0.92,100,0.01
qwen25-7b-1m,qa,niah_none,vi,knorm,0.25,0.95,0.95,100,0.0
qwen25-7b-1m,qa,niah_none,vi,knorm,0.5,0.9,0.9,100,0.0
qwen25-7b-1m,qa,niah_none,vi,none,1.0,0.9,0.9,100,0.0
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.25,0.98,0.98,100,0.0
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.5,0.91,0.91,100,0.0
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.25,0.98,0.97,100,0.01
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.5,0.96,0.96,100,0.0
qwen25-7b-1m,qa,niah_none,zh,knorm,0.25,1.0,1.0,100,0.0
qwen25-7b-1m,qa,niah_none,zh,knorm,0.5,0.99,0.99,100,0.0
qwen25-7b-1m,qa,niah_none,zh,none,1.0,0.94,0.94,100,0.0
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.25,0.99,0.99,100,0.0
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.5,0.97,0.97,100,0.0
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.25,0.98,0.98,100,0.0
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.5,0.97,0.97,100,0.0
qwen25-7b-1m,qa,niah_single,en,knorm,0.25,0.02,0.02,100,0.0
qwen25-7b-1m,qa,niah_single,en,knorm,0.5,0.04,0.04,100,0.0
qwen25-7b-1m,qa,niah_single,en,none,1.0,0.98,0.98,100,0.0
qwen25-7b-1m,qa,niah_single,en,snapkv,0.25,0.07,0.07,100,0.0
qwen25-7b-1m,qa,niah_single,en,snapkv,0.5,0.37,0.37,100,0.0
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.25,0.27,0.27,100,0.0
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.5,0.45,0.45,100,0.0
qwen25-7b-1m,qa,niah_single,ja,knorm,0.25,0.03,0.03,100,0.0
qwen25-7b-1m,qa,niah_single,ja,knorm,0.5,0.07,0.07,100,0.0
qwen25-7b-1m,qa,niah_single,ja,none,1.0,0.96,1.0,100,-0.04
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.25,0.06,0.06,100,0.0
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.5,0.16,0.17,100,-0.01
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.25,0.28,0.28,100,0.0
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.5,0.46,0.46,100,0.0
qwen25-7b-1m,qa,niah_single,ko,knorm,0.25,0.04,0.04,100,0.0
