[18:34:32] ===== stage=aggregate ts=20260729_183432 ctx=32768 attn=sdpa seed_default=42 =====
[18:34:35] env: datasets==5.0.0 | kvpress==0.5.4 | torch==2.13.0 | transformers==5.2.0 -> /vol/logs/env_aggregate_20260729_183432.txt
[18:34:37] excluding 42 toy selftest rows from aggregation
[18:34:38] per-cell table (95% bootstrap CIs):
       model   arm lang  ctx_len         press  kept        task  seed   toy  acc  ci_low  ci_high   n  mean_wall_s
qwen25-7b-1m joint   ja    32768 streaming_llm  0.50 niah_single    42 False 0.45    0.35     0.54 100         4.33
qwen25-7b-1m joint   ko    32768 streaming_llm  0.50 niah_single    42 False 0.49    0.39     0.59 100         5.60
qwen25-7b-1m joint   pl    32768 streaming_llm  0.50 niah_single    42 False 0.49    0.39     0.58 100         4.74
qwen25-7b-1m joint   sw    32768 streaming_llm  0.50 niah_single    42 False 0.25    0.17     0.34 100         5.86
qwen25-7b-1m joint   vi    32768 streaming_llm  0.50 niah_single    42 False 0.49    0.40     0.58 100         4.93
qwen25-7b-1m joint   zh    32768 streaming_llm  0.50 niah_single    42 False 0.42    0.32     0.52 100         3.57
qwen25-7b-1m    qa   en    32768         knorm  0.25   niah_none    42 False 0.98    0.95     1.00 100         4.37
qwen25-7b-1m    qa   ja    32768         knorm  0.25   niah_none    42 False 0.93    0.88     0.98 100         3.97
qwen25-7b-1m    qa   ko    32768         knorm  0.25   niah_none    42 False 0.76    0.67     0.84 100         5.53
qwen25-7b-1m    qa   pl    32768         knorm  0.25   niah_none    42 False 1.00    1.00     1.00 100         4.27
qwen25-7b-1m    qa   sw    32768         knorm  0.25   niah_none    42 False 0.90    0.84     0.96 100         5.69
qwen25-7b-1m    qa   vi    32768         knorm  0.25   niah_none    42 False 0.95    0.90     0.99 100         4.62
qwen25-7b-1m    qa   zh    32768         knorm  0.25   niah_none    42 False 1.00    1.00     1.00 100         3.47
qwen25-7b-1m    qa   en    32768         knorm  0.50   niah_none    42 False 0.99    0.97     1.00 100         4.34
qwen25-7b-1m    qa   ja    32768         knorm  0.50   niah_none    42 False 0.93    0.88     0.97 100         4.05
qwen25-7b-1m    qa   ko    32768         knorm  0.50   niah_none    42 False 0.55    0.45     0.65 100         5.65
qwen25-7b-1m    qa   pl    32768         knorm  0.50   niah_none    42 False 1.00    1.00     1.00 100         4.32
qwen25-7b-1m    qa   sw    32768         knorm  0.50   niah_none    42 False 0.83    0.75     0.90 100         5.81
qwen25-7b-1m    qa   vi    32768         knorm  0.50   niah_none    42 False 0.90    0.84     0.95 100         4.72
qwen25-7b-1m    qa   zh    32768         knorm  0.50   niah_none    42 False 0.99    0.97     1.00 100         3.59
qwen25-7b-1m    qa   en    32768          none  1.00   niah_none    42 False 0.96    0.92     0.99 100         4.40
qwen25-7b-1m    qa   ja    32768          none  1.00   niah_none    42 False 0.75    0.66     0.83 100         4.21
qwen25-7b-1m    qa   ko    32768          none  1.00   niah_none    42 False 0.37    0.28     0.46 100         5.96
qwen25-7b-1m    qa   pl    32768          none  1.00   niah_none    42 False 1.00    1.00     1.00 100         4.31
qwen25-7b-1m    qa   sw    32768          none  1.00   niah_none    42 False 0.58    0.48     0.68 100         5.90
qwen25-7b-1m    qa   vi    32768          none  1.00   niah_none    42 False 0.90    0.84     0.95 100         4.71
qwen25-7b-1m    qa   zh    32768          none  1.00   niah_none    42 False 0.94    0.89     0.98 100         3.63
qwen25-7b-1m    qa   en    32768        snapkv  0.25   niah_none    42 False 0.97    0.93     1.00 100         4.38
qwen25-7b-1m    qa   ja    32768        snapkv  0.25   niah_none    42 False 0.92    0.86     0.97 100         4.05
qwen25-7b-1m    qa   ko    32768        snapkv  0.25   niah_none    42 False 0.62    0.53     0.71 100         5.70
qwen25-7b-1m    qa   pl    32768        snapkv  0.25   niah_none    42 False 1.00    1.00     1.00 100         4.33
qwen25-7b-1m    qa   sw    32768        snapkv  0.25   niah_none    42 False 0.95    0.90     0.99 100         5.71
qwen25-7b-1m    qa   vi    32768        snapkv  0.25   niah_none    42 False 0.98    0.95     1.00 100         4.68
qwen25-7b-1m    qa   zh    32768        snapkv  0.25   niah_none    42 False 0.99    0.97     1.00 100         3.59
qwen25-7b-1m    qa   en    32768        snapkv  0.50   niah_none    42 False 0.96    0.92     0.99 100         4.38
qwen25-7b-1m    qa   ja    32768        snapkv  0.50   niah_none    42 False 0.86    0.79     0.92 100         4.30
