model,arm,task,press,kept,lang,bin,acc,n
llama31-8b,qa,niah_single,snapkv,0.5,sw,.75-1,1.0,28
llama31-8b,qa,niah_single,snapkv,0.5,vi,0-.25,0.0385,26
llama31-8b,qa,niah_single,snapkv,0.5,vi,.25-.5,0.0,22
llama31-8b,qa,niah_single,snapkv,0.5,vi,.5-.75,0.0952,21
llama31-8b,qa,niah_single,snapkv,0.5,vi,.75-1,0.3548,31
llama31-8b,qa,niah_single,snapkv,0.5,zh,0-.25,0.1562,32
llama31-8b,qa,niah_single,snapkv,0.5,zh,.25-.5,0.7083,24
llama31-8b,qa,niah_single,snapkv,0.5,zh,.5-.75,0.8125,16
llama31-8b,qa,niah_single,snapkv,0.5,zh,.75-1,1.0,28
llama31-8b,qa,niah_single,streaming_llm,0.25,en,0-.25,0.0,26
llama31-8b,qa,niah_single,streaming_llm,0.25,en,.25-.5,0.0,28
llama31-8b,qa,niah_single,streaming_llm,0.25,en,.5-.75,0.0,18
llama31-8b,qa,niah_single,streaming_llm,0.25,en,.75-1,0.9643,28
llama31-8b,qa,niah_single,streaming_llm,0.25,ja,0-.25,0.0,27
llama31-8b,qa,niah_single,streaming_llm,0.25,ja,.25-.5,0.0,27
llama31-8b,qa,niah_single,streaming_llm,0.25,ja,.5-.75,0.0,18
llama31-8b,qa,niah_single,streaming_llm,0.25,ja,.75-1,0.8929,28
llama31-8b,qa,niah_single,streaming_llm,0.25,ko,0-.25,0.0,27
llama31-8b,qa,niah_single,streaming_llm,0.25,ko,.25-.5,0.0,24
llama31-8b,qa,niah_single,streaming_llm,0.25,ko,.5-.75,0.0,21
llama31-8b,qa,niah_single,streaming_llm,0.25,ko,.75-1,0.75,28
llama31-8b,qa,niah_single,streaming_llm,0.25,pl,0-.25,0.0,32
llama31-8b,qa,niah_single,streaming_llm,0.25,pl,.25-.5,0.0,22
llama31-8b,qa,niah_single,streaming_llm,0.25,pl,.5-.75,0.0,18
llama31-8b,qa,niah_single,streaming_llm,0.25,pl,.75-1,1.0,28
